order	SRR6000869	SRR6000870	SRR6000871	SRR6000873	SRR6000874	SRR6000877	SRR6000878	SRR6000890	SRR6000891	SRR6000892	SRR6000893	SRR6000894	SRR6000895	SRR6000896	SRR6000899	SRR6000900	SRR6000901	SRR6000902	SRR6000903	SRR6000905	SRR6000906	SRR6000907	SRR6000908	SRR6000909	SRR6000910	SRR6000911	SRR6000912	SRR6000920	SRR6000921	SRR6000931	SRR6000932	SRR6000940	SRR6000942	SRR6000943	SRR6000944	SRR6000945	SRR6000946	SRR6000947	SRR6000949
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0.01021	0	1.60429	0	0	0	0	0	0	0	0	0	0	0	1.40483	0.03236	0.30926	0	0.1995	0	0	0	0	0.67978	0	0.1801	0	0	0	3.39755	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0	0	0	0.00133	0	0	0.00534	0.00556	0	0.00272	0.0229	0.49509	0	0	0	0.03035	0	0	0.0824	0	0	0.02413	0.00711	0.24696	0.00137	0	0	0.02666	0	0	0.02027	0.03658	0.0054	0	0	0	0.02101	0	0.00076
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2.02819	0.54842	0	1.34189	1.50636	0	2.95176	0.78617	0.00437	0	0	0.22722	0.14644	0.17886	0.10007	1.72158	6.70443	0	21.85208	3.0488	0.4055	0.242	0	0.08441	0.87867	0.24815	0.01619	1.59589	0	0.80684	0	0.00215	0	2.42568	0	0	2.05558	0.12028	1.85585
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.14613	0.64358	0	2.23901	0.94294	0.07273	0.22664	0.53249	0.06319	0.9777	0.17788	1.87826	1.01475	0.09311	1.20245	0.34811	3.14441	0.23258	12.23437	1.04191	0.09225	1.1687	0.66709	3.10751	1.00981	0.25574	0.12568	0.86043	0.21464	0.83452	2.55554	2.51754	0.97046	0.07996	0.10039	0	2.34827	0.18709	0.55731
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	57.72157	61.52112	96.80846	70.67972	52.31878	77.26292	75.46603	73.784	80.26935	34.60285	46.5698	51.63652	78.36689	86.65217	63.0971	63.05015	48.02504	69.7595	15.80037	47.00051	30.57526	40.58978	66.42192	48.89658	64.24655	76.44644	66.80389	64.21512	74.15447	53.76834	66.2941	46.38633	76.30783	49.38773	88.16037	73.21428	44.45333	48.16082	67.48972
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0	0	0	0	0	0	0	0	0	0	0	0.00716	0	0	0	0	0.00223	0	0	0	0	0.00181	0	0	0	0	0	0.00222	0	0	0	0	0.00255	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0	0	0	0	0	0	0	0	0	0.00061	0.00184	0.12397	0	0	0.00344	0	0	0	0.02209	0	0	0.00449	0	0.01094	0.00209	0	0.00078	0.00185	0	0	0	0	0	0	0	0	0.0053	0	0.00239
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.18161	0.64523	0.07209	2.69331	0.09105	0.03728	0.68164	0.62493	0.58422	0.23486	4.93934	6.17471	0.01003	0.02059	0.32734	0.28578	0.09454	0.46254	3.77011	0.05271	0.07111	11.70217	0.23446	0.80532	1.21591	0.03089	0.01554	2.32417	0.01997	0.76334	0.13919	2.61428	2.44043	0.14425	0.01556	0.19025	21.96914	0.25688	0.0375
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	35.97139	24.56056	2.96902	19.30827	36.88588	15.42302	8.76434	21.59338	17.87001	24.84699	36.47895	19.23255	13.34056	5.44834	26.68063	27.51673	8.85698	17.28545	33.97127	34.08203	65.67654	32.53359	30.1778	45.39521	27.7179	9.93851	21.35459	17.25573	24.66168	27.97864	16.47269	38.31992	16.43264	12.7689	9.28818	12.45026	11.70931	39.26313	24.08687
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.72176	0.08188	0.06999	0.1682	0.03425	0.84306	0.56362	0.00472	0.05432	0.27072	0.04302	0.17669	0.58787	0.5029	0.64481	0.79797	0.1286	0.06706	3.13985	0.11417	0.0133	2.8922	0.18943	0.17467	0.03888	0.04721	0.47329	0.09358	0.05192	0.12788	0.2944	2.69011	0.22054	0.2378	0.02939	0.05499	0.0656	0.65141	0.09459
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2.2152	3.8954	0.02339	0.02632	0.00241	0	7.99344	0.21702	0	0.55798	0.28791	0.89491	3.96514	5.71126	0.28913	4.90737	0.44338	0.00165	1.70228	0.00255	0.00073	0.03526	0.50251	0	3.11707	9.11567	1.19014	0.02907	0.0039	5.00698	0.26078	0.08285	0	1.3161	1.51707	1.38645	0.0143	1.44178	5.19502
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0	0.12978	0	0	0	0	0	0	0	0	0.00723	0.07531	0.09097	0	0	0.00125	0	0	0	0	0	0	0	0	0	0	0.26522	0	0	0.16077	0	0.02029	0	0	0	0	0	0	0
