family	SRR6000869	SRR6000870	SRR6000871	SRR6000873	SRR6000874	SRR6000877	SRR6000878	SRR6000890	SRR6000891	SRR6000892	SRR6000893	SRR6000894	SRR6000895	SRR6000896	SRR6000899	SRR6000900	SRR6000901	SRR6000902	SRR6000903	SRR6000905	SRR6000906	SRR6000907	SRR6000908	SRR6000909	SRR6000910	SRR6000911	SRR6000912	SRR6000920	SRR6000921	SRR6000931	SRR6000932	SRR6000940	SRR6000942	SRR6000943	SRR6000944	SRR6000945	SRR6000946	SRR6000947	SRR6000949
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	0	0.01021	0	1.60429	0	0	0	0	0	0	0	0	0	0	0	1.40483	0.03236	0.30926	0	0.1995	0	0	0	0	0.67978	0	0.1801	0	0	0	3.39755	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0	0	0	0	0	0	0.00534	0.00302	0	0	0.01494	0.24371	0	0	0	0.03035	0	0	0.0699	0	0	0.00728	0	0.05456	0.00137	0	0	0.01781	0	0	0	0.03154	0.0054	0	0	0	0.02101	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0.04318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00885	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05092	0	0	0	0	0	0	0.01373	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0	0	0	0.00133	0	0	0	0.00253	0	0.00272	0.00796	0.20819	0	0	0	0	0	0	0.0125	0	0	0.01685	0.00711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00076
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14148	0	0	0	0	0	0	0.00654	0.00504	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2.02819	0.54842	0	1.34189	1.50636	0	2.95176	0.78617	0.00437	0	0	0.22722	0.14644	0.17886	0.10007	1.72158	6.70443	0	21.85208	3.0488	0.4055	0.242	0	0.08441	0.87867	0.24815	0.01619	1.59589	0	0.80684	0	0.00215	0	2.42568	0	0	2.05558	0.12028	1.85585
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.14613	0.64358	0	2.23901	0.94294	0.07273	0.22664	0.53249	0.06319	0.9777	0.17788	1.87826	1.01475	0.09311	1.20245	0.34811	3.14441	0.23258	12.23437	1.04191	0.09225	1.1687	0.66709	3.10751	1.00981	0.25574	0.12568	0.86043	0.21464	0.83452	2.55554	2.51754	0.97046	0.07996	0.10039	0	2.34827	0.18709	0.55731
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	49.25312	44.62497	87.31673	33.93612	35.93194	39.06413	43.93642	57.70843	47.539	16.02209	20.6802	30.64014	59.67203	71.20939	46.63989	51.69151	37.7578	46.02253	14.20193	17.78149	12.16665	28.0786	54.16069	42.50525	57.71978	62.83948	32.03217	44.51988	56.14632	41.67242	31.68607	23.87288	69.12818	45.8351	62.06597	73.21428	13.26491	17.98174	14.85661
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0	0.58426	0	0	0	0	0	0	0.07606	0.67327	1.51597	0	0.0093	0	0	0	0	0	0	0	1.86201	0.0091	0.22777	0.48566	0	0.14123	0	0	2.14425	0.774	0.21343	0	0	0	0.95241	0	0	3.46663	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2.60581	5.36991	3.3964	2.62265	8.55722	22.36688	5.39423	13.21009	13.56202	7.61447	10.66746	4.78594	16.12704	7.8234	4.47621	11.35468	10.26554	9.33535	1.11564	14.7515	5.93071	8.31773	8.52509	0.93268	5.70263	8.88079	26.75341	14.44377	11.47275	5.30731	10.6705	3.77593	4.22875	0.00115	8.63062	0	4.79849	6.68115	5.81393
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.00202	0	5.92868	0	0	0	0	0	8.53658	0	1.49744	0	0	0	3.93816	0	0.00171	0	0.04353	1.89949	0.00946	0	0	0.01101	0	0	7.9014	0.01313	0	0.00208	0	0	0	0.00249	0	0	0.53071	11.48353	39.16306
